CuastomerOrderID,ID, Date, Price,Shipping Fee,Customer ID,Order City,Order Date,Delivered Date,Product rating,typeCategory,Payment Method
268ccd28fb62008e06398dc300d3f0bf,77fccaae319668a8ab6cd0fd16aec48c,43333.03417,333,10.04,0061937e85c708a41f5d5b24405d0f50,niteroi,5/5/2017,42873.49595,5,automotivo,credit_card
2ffc6b5ac3d28600297371ae9a1a960d,6879c4d287a8dd06b11f54ea8f78e4da,42956.77105,45,17.67,009e30667771830117017cf8581b98a5,sao paulo,1/6/2018,42873.49595,5,ferramentas_jardim,credit_card
1001037af2faeaa0440e04c4cf69413d,7a67c85e85bb2ce8582c35f2203ad736,43038.13031,313,14.41,bd82f8b438e8a7f9559e2578f9d742dc,sao paulo,5/27/2018,43136.87302,4,brinquedos,coupon
10010d54b0ddcd2c4ef9076ac5b16e2c,fe2032dab1a61af8794248c8196565c9,42957.8358,2,7.78,2f4f35d3e9256161a7ccd6f561707b69,sao paulo,11/22/2017,43250.659,5,relogios_presentes,credit_card
10034668f0d3ab9832769f2f14e190fc,f80edd2c5aaa505cc4b0a3b219abf4b8,43236.80431,12,7.78,0f2aee532022e9dc46401a1007e7ad9d,sao paulo,5/20/2018,43075.59485,5,beleza_saude,credit_card
1004139d05100b9f27b8eda1b40b516a,6481e96574816ead57975da2c0f6d80d,43042.38494,44,20.86,e6738c77845097c64b4aeb5839286755,salvador,7/27/2018,43256.86709,5,automotivo,credit_card
1006246e3feed80b0a2f83d8364240f7,1900267e848ceeba8fa32d80c1a5f5a8,43042.38494,242,17.27,27ef94da5dd900952d450780482a9df5,sao paulo,8/18/2017,43318.91914,3,beleza_saude,credit_card
12437f8c2f1cd4825ce82cc6e42ec5a6,1835b56ce799e6a4dc4eddc053f04066,43042.38494,24,12.69,00eb46a6c173fdad0c058d8650deefd9,santo andre,6/11/2018,42970.62308,2,beleza_saude,credit_card
100afaca9622960d56d99608309cd46b,1900267e848ceeba8fa32d80c1a5f5a8,43042.38494,55,13.71,3f75db6a3db29236e3e7975d66f376af,belo horizonte,6/22/2018,43297.69623,5,cama_mesa_banho,credit_card
100c3a4b273a82310ce16d5524e14450,2f4b0d3b9634b647d4edee577d7ebb7e,43042.38494,4,17.09,d61a69cff9f2013ae34f6067ddf94523,sao paulo,4/13/2018,43277.78567,5,bebes,coupon
100ebf8fcba296158a4021a35cfa1bf8,b81e3a6c866a764974fe849821abeebd,42996.1849,34,8.26,68b8412a0ff432e46e7437a3540a23be,sao paulo,10/10/2017,43207.68866,2,relogios_presentes,credit_card
1018e87031636df2c2dfa4af21df3642,b81e3a6c866a764974fe849821abeebd,43336.20162,545,12.1,011aa301cac8da4d01db88c3180a4058,niteroi,11/24/2017,43073.65903,5,moveis_decoracao,credit_card
1018e87031636df2c2dfa4af21df3642,fa40cc5b934574b62717c68f3d678b6d,42914.94124,35,16.14,011aa301cac8da4d01db88c3180a4058,sao paulo,11/24/2017,43073.65903,5,moveis_decoracao,credit_card
101a1fdfd16c29a1608a58883902ec1d,e0878efa0e0b7e5313ac0b43bc04c081,42968.78088,546,17.87,17ae35ec1439920979daeef055eeba28,salvador,1/26/2018,43073.65903,3,papelaria,credit_card
101d0c9df867a5f28ff3af69bb2a13d7,c70c1b0d8ca86052f45a432a38b73958,43301.01059,36,7.39,a710d6093cd4fcc25118db94fca740f2,sao paulo,8/14/2018,43131.88388,5,telefonia,credit_card
101d45ec36017120849bced34020c170,2d50d6282f8aa2257819a77bfaa0efe0,43075.84683,547,14.1,0066d0530824a5e8044c71af62dea8d5,sao paulo,8/14/2018,43328.81852,5,perfumaria,credit_card
101dd34c03c31b22d56fa2f1973b1e85,817245bcc3badd82bbd222e0366951a6,43075.84683,37,18.71,68ffaee0e0cba1ec2e5fae05c3172814,niteroi,2/28/2018,43328.81852,5,perfumaria,credit_card
10251ca016384afb8d4954da5fb3b419,440dd6ab244315c632130ecfb63827b1,43069.67784,548,71.99,0d647c9d0665a42436b1286bce3163e6,belo horizonte,11/25/2017,43164.50942,5,moveis_escritorio,credit_card
10266b83757aba75b5fb490bfc84fd64,1f9ab4708f3056ede07124aad39a2554,43202.13214,38,12.04,dca89b5b50128f24b676e979ba84b882,sao paulo,5/20/2018,43091.72144,5,cool_stuff,credit_card
102f840f0c7fb82a5e0568624b41b3e5,4e06067cc08b3f41d837768d392c3ee3,43018.64271,549,18.2,d61912c15c5759cca29bdf28802d4f13,belo horizonte,11/10/2017,43243.74184,1,perfumaria,credit_card
